,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver
9882,71152,2016,0.0,100,터키,15세이상관람가,코미디,멜템 보조풀루,1,0,0,0,0,0,0
9883,71153,2013,0.0,89,독일,청소년관람불가,코미디,제이콥 라스,0,0,0,0,0,0,0
9884,71155,2018,0.0,20,한국,미정,드라마,신지나,0,0,0,0,0,0,0
9885,71156,2018,0.0,152,미국,12세이상관람가,다큐멘터리,톰 짐니,1,0,0,0,0,0,0
9886,71157,2018,83.33,100,일본,전체관람가,애니메이션,나가미네 타츠야,0,0,0,0,0,0,0
9887,71162,2013,0.0,16,한국,청소년관람불가,드라마,변천,0,1,1,0,1,0,1
9888,71166,2018,0.0,108,미국,청소년관람불가,스릴러,세바스찬 구티에레즈,0,0,1,0,1,0,1
9889,71167,2017,0.0,98,미국,15세이상관람가,코미디,숀 앤더스,0,0,1,0,0,0,0
9890,71168,2019,0.0,한국,미정,범죄,없음,김민수,0,0,0,0,0,0,0
9891,71169,2019,0.0,한국,미정,판타지,뮤지컬,고충길,0,0,0,0,0,0,0
9892,71171,2016,0.0,103,독일,15세이상관람가,액션,우푹 겐치,0,0,1,0,0,0,0
9893,71172,2014,0.0,72,브라질,전체관람가,코미디,주제 마이아,0,1,1,0,1,0,0
9894,71174,2015,0.0,84,미국,15세이상관람가,공포(호러),존 로저스,0,0,0,0,0,0,0
9895,71177,2016,0.0,80,캐나다,15세이상관람가,액션,자카리 라멜란,0,0,0,0,0,0,0
9896,71180,2019,0.0,54,일본,청소년관람불가,액션,야마구치 히로키,0,0,0,0,0,0,0
9897,71181,2019,0.0,52,일본,청소년관람불가,액션,야마구치 히로키,0,0,0,0,0,0,0
9898,71182,2016,0.0,76,일본,청소년관람불가,액션,야마구치 히로키,0,1,1,0,1,0,0
9899,71183,2017,16.67,113,미국,청소년관람불가,드라마,데니스 디 노비,1,0,0,0,0,1,0
9900,71184,2018,0.0,80,한국,청소년관람불가,액션,이수성,0,0,0,0,1,0,0
9901,71185,2018,17.02,107,미국,15세이상관람가,드라마,제임스 콕스,0,0,0,0,1,0,0
9902,71186,2018,82.35,100,한국,전체관람가,다큐멘터리,김재환,0,0,0,0,1,0,0
9903,71188,2018,0.0,80,영국,청소년관람불가,스릴러,스티븐 홀,0,1,1,0,1,0,0
9904,71189,2016,0.0,44,미국,미정,애니메이션,맥스 랭,0,0,1,0,0,0,0
